시도,시군구,검토묶음,현재분류,시스템제안판정,핵심수치요약,시스템제안근거,함께볼포인트,사용자판정,사용자메모
경기도,부천시 원미구,우선검토후보,우선 검토,우선검토,"상승확률 76.4 / 투자적합성 71.6 / 저평가 72.7 / 촉매 97.2 / 과열 47.5","방향성, 저평가, 촉매가 동시에 높고 과열이 과하지 않음","실제 생활권 선호와 출구 전략이 투자자 관점에서 납득되는지 확인",,
경기도,안양시 만안구,우선검토후보,우선 검토,우선검토,"상승확률 72.9 / 투자적합성 70.0 / 저평가 66.1 / 촉매 96.7 / 과열 56.5","반등 가능성과 투자 적합성이 동시에 높음","생활권 질과 단지 상품성 차이를 감안해도 우선 검토가 맞는지 확인",,
부산광역시,북구,우선검토후보,우선 검토,우선검토,"상승확률 71.8 / 투자적합성 63.5 / 저평가 62.6 / 촉매 89.3 / 과열 40.4","지방광역시 후보 중 방향성과 과열 균형이 양호함","부산 내에서 실제 투자 우선순위가 높은 축인지 확인",,
서울특별시,서대문구,우선검토후보,우선 검토,우선검토,"상승확률 59.8 / 투자적합성 70.1 / 저평가 60.0 / 촉매 50.3 / 과열 35.9","서울 내 상대가치와 투자 적합성이 양호함","서울 내에서 실제 검토 우선순위가 어느 정도인지 확인",,
인천광역시,연수구,우선검토후보,우선 검토,우선검토,"상승확률 53.4 / 투자적합성 88.8 / 저평가 59.5 / 촉매 49.2 / 과열 52.3","생활권 선호와 유동성이 좋아 투자 검토 가치가 높음","인천 대표 우선검토 사례로 둘 만한지 확인",,
부산광역시,해운대구,우선검토후보,우선 검토,우선검토,"상승확률 56.0 / 투자적합성 82.7 / 저평가 51.4 / 촉매 84.7 / 과열 59.6","핵심 생활권, 유동성, 촉매가 모두 무난함","지방광역시 핵심지로 우선검토에 올리는 것이 맞는지 확인",,
경기도,성남시 분당구,우선검토후보,우선 검토,우선검토,"상승확률 31.3 / 투자적합성 90.0 / 저평가 42.0 / 촉매 4.2 / 과열 93.4","핵심 입지라 기계적으로 제외하기 어려움","지금 시점은 우선검토보다 판단보류가 맞는지 같이 확인",,
경기도,용인시 수지구,우선검토후보,우선 검토,우선검토,"상승확률 44.5 / 투자적합성 93.7 / 저평가 54.7 / 촉매 15.8 / 과열 76.7","투자 적합성은 매우 높음","실제론 우선검토보다 판단보류가 더 자연스러운지 확인",,
서울특별시,송파구,판단보류후보,우선 검토,판단보류,"상승확률 45.9 / 투자적합성 92.4 / 저평가 49.1 / 촉매 42.7 / 과열 44.9","핵심 입지지만 단기 방향성은 강하지 않음","우선검토와 판단보류 중 어느 쪽이 더 투자자 관점에 맞는지 확인",,
서울특별시,강남구,판단보류후보,판단 보류,판단보류,"상승확률 39.9 / 투자적합성 84.1 / 저평가 52.7 / 촉매 31.5 / 과열 36.8","검토 가치는 높지만 현 시점 방향성은 약함","판단보류 사례로 유지할지, 별도 핵심지 규칙이 필요한지 확인",,
서울특별시,서초구,판단보류후보,판단 보류,판단보류,"상승확률 40.7 / 투자적합성 76.9 / 저평가 51.6 / 촉매 27.4 / 과열 37.5","핵심지지만 단기 방향성 확인이 더 필요함","판단보류가 맞는지, 혹은 우선검토에 올려야 하는지 확인",,
서울특별시,마포구,판단보류후보,판단 보류,판단보류,"상승확률 40.2 / 투자적합성 77.7 / 저평가 48.1 / 촉매 38.7 / 과열 45.0","핵심 생활권 접근성은 좋지만 추가 확인 필요","서울 핵심 생활권 중 판단보류 사례로 적절한지 확인",,
경기도,화성시 동탄구,판단보류후보,판단 보류,판단보류,"상승확률 56.4 / 투자적합성 91.8 / 저평가 51.5 / 촉매 99.1 / 과열 80.9","생활권 선호는 높지만 과열과 공급을 함께 봐야 함","판단보류로 둘지, 더 보수적으로 볼지 확인",,
경기도,하남시,판단보류후보,판단 보류,판단보류,"상승확률 38.3 / 투자적합성 86.0 / 저평가 22.8 / 촉매 48.2 / 과열 75.6","입지 매력은 있으나 과열과 가격 부담이 큼","판단보류가 맞는지 확인",,
경기도,과천시,판단보류후보,판단 보류,판단보류,"상승확률 29.2 / 투자적합성 47.1 / 저평가 25.1 / 촉매 24.5 / 과열 68.6","모델상 제외지만 사람이 보기엔 기계적 제외가 어색함","표본 부족과 핵심 입지 예외를 어떻게 다룰지 확인",,
